"Pos","Pos2","Player","Club","Relative Value","RV_info","vs. Next Pick","VNP_info","WaiverStr","WS_info","max_ws","Av.24","Projected","ADP","Risk","DPP","ID_AFLFAN","Coach_name","position.field","pick","Coach_pick","Role.24","Gm.24","Age","Notes"
"Ruck","Fwd","Oscar Steene","COL","","No DPP   No Inj Adjustment.","","Ruck: NA  Fwd: NA","","","","","0","266","Medium","Yes","1022844","","","","","","","21",""
"Def","","Lachlan Bramble","WBD","4.3","No DPP   No Inj Adjustment.","","","5.9","","9.7","68.8","62.9","267","Medium","No","1000864","","","","","Distributor","24","26",""
"Def","Mid","Bo Allan","WCE","","No DPP   No Inj Adjustment.","","Def: NA  Mid: NA","","","","","0","268","High","Yes","1028449","","","","","","","18",""
"Mid","","Elijah Tsatas","ESS","-37.4","No DPP   No Inj Adjustment.","","","24.9","","-9.3","36.7","50.4","269","High","No","1023785","","","","","Out.mid","7","20","Role: Mid.Could get elevated to mid group. Good pre-season. Punt."
"Mid","","Archie Perkins","ESS","-9","No DPP   No Inj Adjustment.","","","10.2","","5.4","65.1","65.7","270","Low","No","1015873","","","","","Gen Fwd","18","22",""
"Mid","","Sam Clohesy","GCS","-8.3","No DPP   No Inj Adjustment.","","","9.8","","5.8","65.8","72.3","271","Medium","No","1013257","","","","","Distributor","20","22","Role: Wing, best 22."
"Def","","Joel Freijah","WBD","-2.3","No DPP   No Inj Adjustment.","","","9.3","","6.3","62.2","58.8","272","Medium","No","1027704","","","","","Def","13","19",""
"Def","","Josh Weddle","HAW","-6.2","No DPP   No Inj Adjustment.","","","11.8","","3.8","58.3","62.4","273","Low","No","1027935","","","","","Def","25","20","Punt. Could improve scoring, talented player off half back."
"Def","","Jake Bowey","MEL","-2","No DPP   No Inj Adjustment.","","","9.1","","6.5","62.5","63.3","274","Medium","No","1012825","","","","","Def","14","22",""
"Def","","Max Michalanney","ADE","0.6","Inj Adjust: -0.1","","","7.6","","8","65.2","61.8","275","Medium","No","1015370","","","","","Def","23","20","Injury: Thumb, may not start season."
"Mid","","Finn O'Sullivan","NTH","","No DPP   No Inj Adjustment.","","","","","","","0","276","High","No","1028495","","","","","","","18","Role: Wing and halfback."
"Fwd","","Tim Membrey","COL","1","No DPP   No Inj Adjustment.","","","14.7","","0.9","62.5","62.6","277","High","No","294596","","","","","Key Fwd","19","30",""
"Ruck","","Taylor Goad","NTH","","No DPP   No Inj Adjustment.","","","","","","","0","278","High","No","1031506","","","","","","","19",""
"Mid","","Callan Ward","GWS","-0.8","No DPP   No Inj Adjustment.","","","6.4","","9.2","73.3","71.5","279","Medium","No","280109","","","","","Gen Fwd","20","34","Age risk."
"Fwd","","Ben Ainsworth","GCS","3.6","No DPP   No Inj Adjustment.","","","12.6","","3","65.1","65.9","280","Low","No","998130","","","","","Gen Fwd","17","26",""
"Def","","Logan Evans","PTA","1.9","No DPP   No Inj Adjustment.","","","7","","8.6","66.4","64.8","281","Medium","No","1019938","","","","","Def","13","19",""
"Def","","Mitch McGovern","CAR","4.4","No DPP   No Inj Adjustment.","","","5.8","","9.8","68.9","65.7","282","Medium","No","297255","","","","","Distributor","18","30",""
"Def","","Blake Hardwick","HAW","1.6","No DPP   No Inj Adjustment.","","","7.2","","8.4","66.1","72.4","283","Low","No","993794","","","","","Def","25","27","Role: possibly playing forward."
"Ruck","","Toby Conway","GEE","-11","No DPP   No Inj Adjustment.","","","0","","15.6","75.2","76","284","Medium","No","1017063","","","","","Ruck","5","21","Hasn't been seen at training. May solo ruck, watch SDK's role. Was touted as next sole ruck."
"Fwd","","Will Hayward","SYD","3.3","No DPP   No Inj Adjustment.","","","12.8","","2.8","64.8","65.4","285","Low","No","997100","","","","","Gen Fwd","26","26",""
"Def","","Bodhi Uwland","GCS","-3","No DPP   No Inj Adjustment.","","","9.7","","5.9","61.5","65.2","286","Medium","No","1017665","","","","","Def","21","21",""
"Fwd","","Jamarra Ugle-Hagan","WBD","-0.9","No DPP   No Inj Adjustment.","","","16.6","","-1","60.4","55.5","287","Low","No","1009301","","","","","Key Fwd","22","22","Interrupted pre-season. Off-field issues. Will miss start of season."
"Def","Mid","Tobie Travaglia","STK","","No DPP   No Inj Adjustment.","","Def: NA  Mid: NA","","","","","0","288","High","Yes","1028538","","","","","","","18",""
"Mid","","Harvey Langford","MEL","","No DPP   No Inj Adjustment.","","","","","","","0","289","High","No","1028546","","","","","","","18","Role: If playing has trained with midfield."
"Mid","","Dom Sheed","WCE","","No DPP   No Inj Adjustment.","","","21.3","","-5.7","44.6","0","290","High","No","296296","","","","","Gen Fwd","8","29","Injury: Season, ACL."
"Def","","Jeremy Howe","COL","0","No DPP   No Inj Adjustment.","","","8","","7.6","64.5","72","291","Medium","No","291313","","","","","Def","19","34",""
"Mid","","Tom Sparrow","MEL","-9.2","No DPP   No Inj Adjustment.","","","10.3","","5.3","64.9","71.6","292","Low","No","999391","","","","","Gen Fwd","21","24",""
"Mid","","Reuben Ginbey","WCE","-14","No DPP   No Inj Adjustment.","","","12.8","","2.8","60.1","64.7","293","Low","No","1023025","","","","","Def","23","20",""
"Fwd","","Max King","STK","-10.1","No DPP   No Inj Adjustment.","","","25.6","","-10","51.4","44.4","294","Medium","No","1006143","","","","","Key Fwd","12","24","Interrupted pre-season: knee, troubles. Should be fine for Rd1."
"Fwd","","Oscar Allen","WCE","-5","No DPP   No Inj Adjustment.","","","20.3","","-4.7","56.5","60.5","295","Medium","No","1004385","","","","","Key Fwd","11","25",""
"Mid","","Caleb Windsor","MEL","-15.1","No DPP   No Inj Adjustment.","","","13.4","","2.2","59","60.8","296","Medium","No","1027821","","","","","Distributor","19","19","Expect wing and halfback distributor roles."
"Def","","Luke McDonald","NTH","-4.2","No DPP   No Inj Adjustment.","","","10.5","","5.1","60.3","68","297","Low","No","296355","","","","","Def","22","29","Role: previously used as distributor, likely a general defender."
"Mid","","Nathan O'Driscoll","FRE","-23.6","No DPP   No Inj Adjustment.","","","18.2","","-2.6","50.5","53.2","298","High","No","1013220","","","","","","2","22",""
"Ruck","Fwd","Mason Cox","COL","-11.1","Ruck: -35.8  Fwd: -11.1  No Inj Adjustment.","","Ruck: Inf  Fwd: Inf","0.3","Fwd: 26.7  Ruck: 0.3","15.3","50.4","52.5","299","Medium","Yes","998647","","","","","Ruck","16","33",""
"Ruck","","Will Verrall","MEL","","No DPP   No Inj Adjustment.","","","","","","","0","301","Medium","No","1015473","","","","","","","20",""
"Def","","Luke Nankervis","ADE","0","No DPP   No Inj Adjustment.","","","8","","7.6","64.5","69.6","302","Medium","No","1021031","","","","","Def","20","21",""
"Def","","James Aish","FRE","0.7","No DPP   No Inj Adjustment.","","","7.6","","8","65.2","69.6","303","Low","No","295067","","","","","Def","20","29",""
"Def","Mid","Jayden Hunt","WCE","-2.3","Def: -2.3  Mid: -11.9  No Inj Adjustment.","","Def: Inf  Mid: Inf","9.3","Mid: 11.7  Def: 9.3","6.3","62.2","65.1","304","Medium","Yes","994385","","","","","Distributor","20","29",""
"Mid","","Angus Sheldrick","SYD","","No DPP   No Inj Adjustment.","","","","","","","0","305","Medium","No","1020339","","","","","","","21","Injured in 2024, can be a good scorer. Punt."
"Fwd","","Daniel Curtin","ADE","-29.4","No DPP   No Inj Adjustment.","","","44.9","","-29.3","32.1","23.2","306","High","No","1024023","","","","","Gen Fwd","7","19","Role: Has trained in midfield, punt."
"Fwd","","Mitch Owens","STK","-4.2","No DPP   No Inj Adjustment.","","","19.5","","-3.9","57.3","61.7","307","Low","No","1023272","","","","","Key Fwd","23","21","Poor 2024, talented player, likely better scoring in 2025. Punt."
"Ruck","","Tom Campbell","MEL","-45.7","No DPP   No Inj Adjustment.","","","0.5","","15.1","40.5","54.5","308","High","No","290246","","","","","","2","33",""
"Mid","Fwd","Isaac Kako","ESS","","No DPP   No Inj Adjustment.","","Mid: NA  Fwd: NA","","","","","0","309","High","Yes","1028554","","","","","","","18",""
"Def","","Rory Atkins","PTA","-22.5","No DPP   No Inj Adjustment.","","","23.6","","-8","42","44.5","310","High","No","294472","","","","","Def","3","30","Unlikely to be best 22 for Port Adelaide. With injuries can get a game and score well."
"Fwd","","Jamie Elliott","COL","2.7","No DPP   No Inj Adjustment.","","","13.3","","2.3","64.2","70.1","311","Medium","No","293801","","","","","Gen Fwd","15","32","Injury history."
"Mid","","Mark Blicavs","GEE","-6","No DPP   No Inj Adjustment.","","","8.7","","6.9","68.1","71.6","312","Low","No","296733","","","","","Ruck","24","33","Role: Training in defence."
"Def","","Rory Lobb","WBD","0.7","No DPP   No Inj Adjustment.","","","7.6","","8","65.2","60.2","313","Medium","No","990740","","","","","Def","16","31","Role: Moved to def, previously key forward. Useful if playing Def with Fwd status."
"Ruck","","Liam Reidy","FRE","-34.7","No DPP   No Inj Adjustment.","","","0.2","","15.4","51.5","50.9","314","Medium","No","1023346","","","","","Ruck","2","24","Role: May get games early with the Darcy injury"
"Mid","","Jaeger O'Meara","FRE","-12.1","No DPP   No Inj Adjustment.","","","11.8","","3.8","62","65.4","315","Low","No","294613","","","","","Gen Fwd","22","30",""
"Fwd","","Luke Breust","HAW","-24.6","No DPP   No Inj Adjustment.","","","40.7","","-25.1","36.9","44.6","316","Medium","No","280744","","","","","Gen Fwd","19","34",""
"Mid","","Nat Fyfe","FRE","-11.3","No DPP   No Inj Adjustment.","","","13","","2.6","59.7","55.4","317","High","No","291570","","","","","In.mid","22","33","Interrupted pre-season: knee. Monitor pre-season."
"Fwd","","Jake Melksham","MEL","-17.5","No DPP   No Inj Adjustment.","","","33.5","","-17.9","44","51.6","318","High","No","280824","","","","","Gen Fwd","8","33",""
"Fwd","","Michael Walters","FRE","-13.5","No DPP   No Inj Adjustment.","","","33.3","","-17.7","44.2","50.2","319","High","No","281007","","","","","Gen Fwd","17","34","Interrupted pre-season: knee. Monitor pre-season."
"Def","","Liam Jones","WBD","-10.6","No DPP   No Inj Adjustment.","","","17.5","","-1.9","50.2","46.5","320","High","No","281078","","","","","Def","21","33","Injury: Hamstring, est. return Rd 4 to 6"
"Fwd","","Lachie Schultz","COL","0.7","No DPP   No Inj Adjustment.","","","15","","0.6","62.2","70.6","321","Low","No","1000860","","","","","Gen Fwd","20","27",""
"Def","","Taylor Duryea","WBD","-3.2","No DPP   No Inj Adjustment.","","","9.9","","5.7","61.3","60.7","322","High","No","290085","","","","","Def","22","33",""
"Fwd","","Willie Rioli","PTA","-8.4","No DPP   No Inj Adjustment.","","","23.8","","-8.2","53.1","58.3","323","Low","No","296225","","","","","Gen Fwd","20","29",""
"Def","","Dane Rampe","SYD","-14.6","No DPP   No Inj Adjustment.","","","17.8","","-2.2","49.9","52.6","324","Medium","No","290307","","","","","Def","21","34",""
"Ruck","","Lachlan Keeffe","GWS","-31.8","No DPP   No Inj Adjustment.","","","0.2","","15.4","54.4","41.6","325","High","No","290314","","","","","Ruck","5","34",""
"Def","","Harris Andrews","BRL","-1.8","No DPP   No Inj Adjustment.","","","9","","6.6","62.7","67.5","326","Medium","No","996059","","","","","Def","26","28",""
"Fwd","","Ben Hobbs","ESS","-13","No DPP   No Inj Adjustment.","","","28.7","","-13.1","48.5","67","327","Medium","No","1017088","","","","","Gen Fwd","12","21","Unlikely best 22. Has scored well with a midfield role, injured in 2024. Punt."
"Def","","Jimmy Webster","STK","-5.7","No DPP   No Inj Adjustment.","","","11.4","","4.2","58.8","59.1","328","Medium","No","290757","","","","","Def","15","31",""
"Def","Fwd","Robbie Fox","SYD","-11.9","Def: -14.9  Fwd: -11.9  No Inj Adjustment.","","Def: Inf  Fwd: Inf","18","Fwd: 27.5  Def: 18.0","-2.4","49.6","53","329","Medium","Yes","291848","","","","","Def","18","31",""
"Def","Fwd","David Swallow","GCS","-20.2","Def: -23.2  Fwd: -20.2  No Inj Adjustment.","","Def: Inf  Fwd: Inf","24.1","Fwd: 36.3  Def: 24.1","-8.5","41.3","56.6","330","Medium","Yes","290832","","","","","Gen Fwd","20","32",""
"Mid","","Paddy Dow","STK","-6.1","No DPP   No Inj Adjustment.","","","11.1","","4.5","63.3","57","331","High","No","1002256","","","","","In.mid","10","25","Interrupted pre-season: Knee. Not back to full training."
"Fwd","","Jack Darling","NTH","-7.9","No DPP   No Inj Adjustment.","","","23.3","","-7.7","53.6","55.2","332","Medium","No","290838","","","","","Key Fwd","21","32",""
"Fwd","","Jack Gunston","HAW","-9.9","No DPP   No Inj Adjustment.","","","25.4","","-9.8","51.6","54","333","High","No","291351","","","","","Key Fwd","18","33",""
"Def","","Tom McDonald","MEL","-1.4","No DPP   No Inj Adjustment.","","","8.8","","6.8","63.1","66.1","334","High","No","291533","","","","","Def","22","32",""
"Def","","Ryan Lester","BRL","1.1","No DPP   No Inj Adjustment.","","","7.4","","8.2","65.6","64","335","High","No","291548","","","","","Def","27","32",""
"Fwd","","Will Hoskin-Elliott","COL","-2.9","No DPP   No Inj Adjustment.","","","18.3","","-2.7","58.6","59.2","336","Medium","No","291720","","","","","Gen Fwd","20","31",""
"Mid","","Josh Smillie","RIC","","No DPP   No Inj Adjustment.","","","","","","","0","337","High","No","1028572","","","","","","","18","Injury: Hamstring"
"Fwd","","Taylor Walker","ADE","0.4","No DPP   No Inj Adjustment.","","","15.2","","0.4","61.9","66.5","338","High","No","280506","","","","","Key Fwd","18","34",""
"Fwd","","Brody Mihocek","COL","-2.9","No DPP   No Inj Adjustment.","","","18.3","","-2.7","58.6","56.9","339","Medium","No","291849","","","","","Key Fwd","11","31",""
"Def","","Jayden Laverde","ESS","-0.6","No DPP   No Inj Adjustment.","","","8.3","","7.3","63.9","73.6","340","Low","No","298280","","","","","Def","21","28",""
"Def","","Tom Cole","WCE","-0.5","No DPP   No Inj Adjustment.","","","8.3","","7.3","64","61.5","341","Low","No","993820","","","","","Def","23","27",""
"Ruck","","Hudson O'Keeffe","CAR","","No DPP   No Inj Adjustment.","","","","","","","0","342","Medium","No","1023489","","","","","","","20",""
"Def","","Harry Cunningham","SYD","-9.8","No DPP   No Inj Adjustment.","","","14.2","","1.4","54.7","56.2","343","Medium","No","291978","","","","","Def","23","31",""
"Fwd","","Lincoln McCarthy","BRL","0","No DPP   No Inj Adjustment.","","","15.6","","0","61.5","63.5","344","High","No","293581","","","","","Gen Fwd","8","31","Injury: ACL in 2024"
"Mid","","Cooper Lord","CAR","-4.6","No DPP   No Inj Adjustment.","","","8","","7.6","69.5","53","345","High","No","1032108","","","","","In.mid","2","19",""
"Def","","Sam Frost","HAW","-26.8","No DPP   No Inj Adjustment.","","","26.5","","-10.9","37.7","42.4","346","Low","No","293738","","","","","Def","24","31",""
"Ruck","","William Green","SYD","","No DPP   No Inj Adjustment.","","","","","","","0","347","High","No","1027901","","","","","","","19",""
"Def","","Jed Bews","GEE","-21.1","No DPP   No Inj Adjustment.","","","22.6","","-7","43.4","44.9","348","High","No","293883","","","","","Def","5","31",""
"Def","","Sean Lemmens","GCS","-12.2","No DPP   No Inj Adjustment.","","","16","","-0.4","52.3","48.6","349","High","No","294013","","","","","Def","3","30",""
"Fwd","","Nick Larkey","NTH","-6.2","No DPP   No Inj Adjustment.","","","21.5","","-5.9","55.3","53.1","350","Low","No","1001017","","","","","Key Fwd","23","26","Role: Key forward but doesn’t build score outside of shots at goal. Good scores against bad opposition."
"Def","","Aidan Corr","NTH","-14.7","No DPP   No Inj Adjustment.","","","17.8","","-2.2","49.8","52.7","351","Medium","No","294508","","","","","Def","23","30","Interrupted pre-season: finger."
"Def","Fwd","Noah Balta","RIC","-0.6","No DPP   No Inj Adjustment.","","Def: Inf  Fwd: Inf","10.2","Fwd: 16.2  Def: 10.2","5.4","60.8","62","352","Medium","Yes","1002245","","","","","Def","19","25","Suspension: Return round 5."
"Def","","Brodie Smith","ADE","-0.4","No DPP   No Inj Adjustment.","","","8.2","","7.4","64.1","72.5","353","High","No","291748","","","","","Def","15","33",""
"Mid","","Kamdyn McIntosh","RIC","-26.7","No DPP   No Inj Adjustment.","","","19.9","","-4.3","47.4","49.6","354","Low","No","294592","","","","","Def","22","30",""
"Fwd","","Cody Weightman","WBD","-0.6","No DPP   No Inj Adjustment.","","","17.2","","-1.6","59.7","56.2","355","High","No","1011803","","","","","Gen Fwd","17","24","Injury: Knee, missing first half of season."
"Fwd","","Sam Day","BRL","1.5","No DPP   No Inj Adjustment.","","","14.3","","1.3","63","47.1","356","High","No","291753","","","","","Key Fwd","5","32",""
"Fwd","","Joel Hamling","SYD","","No DPP   No Inj Adjustment.","","","","","","","39.7","357","High","No","295222","","","","","","","31",""
"Def","","Sam Collins","GCS","-11","No DPP   No Inj Adjustment.","","","15.1","","0.5","53.5","51.4","358","Low","No","295446","","","","","Def","23","30",""
"Fwd","","Brad Close","GEE","-5.7","No DPP   No Inj Adjustment.","","","21","","-5.4","55.8","59.5","359","Low","No","999326","","","","","Gen Fwd","25","26",""
"Fwd","","Darcy Gardiner","BRL","-23.4","No DPP   No Inj Adjustment.","","","39.5","","-23.9","38.1","42","360","High","No","296269","","","","","Key Fwd","7","29",""
"Mid","","Josh Ward","HAW","-14.5","No DPP   No Inj Adjustment.","","","13.1","","2.5","59.6","68.6","361","Medium","No","1017110","","","","","Gen Fwd","12","21",""
"Def","","Jake Kolodjashnij","GEE","-6.5","No DPP   No Inj Adjustment.","","","12","","3.6","58","56.7","362","Medium","No","296291","","","","","Def","24","29",""
"Mid","Fwd","Zac Taylor","ADE","-18.6","Mid: -31.2  Fwd: -18.6  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","22.1","Mid: 22.1  Fwd: 34.7","-6.5","42.9","55","363","High","Yes","1017065","","","","","In.mid","9","21",""
"Def","","Nathan Broad","RIC","-2.9","No DPP   No Inj Adjustment.","","","9.7","","5.9","61.6","68.8","364","Low","No","295203","","","","","Def","22","31",""
"Fwd","","Orazio Fantasia","CAR","-25.8","No DPP   No Inj Adjustment.","","","41.8","","-26.2","35.7","42.7","365","High","No","296334","","","","","Gen Fwd","15","29",""
"Fwd","","Jade Gresham","ESS","-6.6","No DPP   No Inj Adjustment.","","","21.9","","-6.3","54.9","62.3","366","Low","No","298421","","","","","Gen Fwd","22","27","Previous history of scoring at St Kilda, unlikely, used solely forward."
"Fwd","","Daniel McStay","COL","-5.3","No DPP   No Inj Adjustment.","","","20.6","","-5","56.2","59.2","367","Medium","No","297504","","","","","Key Fwd","5","29","Role: Key fwd, coming off ACL."
"Fwd","","Liam Henry","STK","-3.7","No DPP   No Inj Adjustment.","","","19.5","","-3.9","57.3","57.9","368","High","No","1005988","","","","","Gen Fwd","12","23","Injury: knee, TBC return."
"Fwd","","Jeremy Finlayson","PTA","-4.7","No DPP   No Inj Adjustment.","","","20","","-4.4","56.8","61.7","369","Medium","No","298111","","","","","Key Fwd","12","28",""
"Def","","Jake Lever","MEL","-11.3","No DPP   No Inj Adjustment.","","","15.3","","0.3","53.2","51.4","370","Medium","No","298281","","","","","Def","19","28","Interrupted pre-season: Off-season knee surgery."
"Mid","Fwd","Nick Holman","GCS","-12.3","Mid: -24.9  Fwd: -12.3  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","18.9","Mid: 18.9  Fwd: 28.0","-3.3","49.2","56.6","371","Low","Yes","297456","","","","","Gen Fwd","21","29",""
"Def","","Mark Keane","ADE","-1.5","No DPP   No Inj Adjustment.","","","8.8","","6.8","63","62.5","372","High","No","1013974","","","","","Def","21","24",""
"Fwd","","Jack Martin","GEE","-30.5","No DPP   No Inj Adjustment.","","","45.8","","-30.2","31","53.3","373","High","No","296190","","","","","Gen Fwd","3","29","Interrupted pre-season: soft tissue injuries."
"Fwd","","Peter Wright","ESS","2.9","No DPP   No Inj Adjustment.","","","13.1","","2.5","64.4","63","374","Medium","No","298289","","","","","Key Fwd","14","28",""
"Fwd","","Eric Hipwood","BRL","-2.3","No DPP   No Inj Adjustment.","","","17.7","","-2.1","59.2","50.2","375","Low","No","993953","","","","","Key Fwd","24","27","Interrupted pre-season: off-season groin surgery."
"Def","","Aliir Aliir","PTA","-3","No DPP   No Inj Adjustment.","","","9.7","","5.9","61.5","58.2","376","High","No","294469","","","","","Def","25","30","Interrupted pre-season: shoulder, return TBC"
"Def","","Oleg Markov","COL","-18.7","No DPP   No Inj Adjustment.","","","20.8","","-5.2","45.8","55.3","377","Medium","No","298358","","","","","Def","12","28",""
"Def","","Alex Pearce","FRE","-15","No DPP   No Inj Adjustment.","","","18","","-2.4","49.5","48.4","378","High","No","298409","","","","","Def","15","29","Injury: May have sustained ankle injury."
"Mid","","Changkuoth Jiath","HAW","-26.2","No DPP   No Inj Adjustment.","","","19.6","","-4","47.9","61.4","379","Medium","No","998390","","","","","Def","11","25",""
"Mid","","Jaspa Fletcher","BRL","-14.1","No DPP   No Inj Adjustment.","","","12.9","","2.7","60","59.5","380","Low","No","1023708","","","","","Gen Fwd","27","20",""
"Fwd","","Shane McAdam","MEL","-17.2","No DPP   No Inj Adjustment.","","","33.2","","-17.6","44.3","56","381","High","No","298470","","","","","Gen Fwd","3","29","Injury: Achilles. TBA."
"Def","","Judd McVee","MEL","-4.5","No DPP   No Inj Adjustment.","","","11.3","","4.3","59","58.3","382","Medium","No","1017703","","","","","Def","23","21","Injury: Hamstring, will miss start of season."
"Def","","Aaron Francis","SYD","-14.9","No DPP   No Inj Adjustment.","","","18","","-2.4","49.6","45.8","383","High","No","990816","","","","","Def","5","27",""
"Def","","Billy Frampton","COL","-27.3","No DPP   No Inj Adjustment.","","","26.9","","-11.3","37.2","41","384","Low","No","991773","","","","","Def","18","28",""
"Def","","Darcy Moore","COL","-16.3","No DPP   No Inj Adjustment.","","","19","","-3.4","48.2","51.6","385","Low","No","298288","","","","","Def","23","29",""
"Fwd","","Darcy Byrne-Jones","PTA","-5.5","No DPP   No Inj Adjustment.","","","20.8","","-5.2","56","59","386","Low","No","991930","","","","","Gen Fwd","26","29",""
"Def","","Zaine Cordy","STK","-28.9","No DPP   No Inj Adjustment.","","","27.9","","-12.3","35.6","35","387","Medium","No","991939","","","","","Def","8","28",""
"Mid","","Kane McAuliffe","RIC","-34.3","No DPP   No Inj Adjustment.","","","23.6","","-8","39.8","45","388","High","No","1019916","","","","","In.mid","9","19",""
"Mid","","Zak Jones","STK","-16.7","No DPP   No Inj Adjustment.","","","14.3","","1.3","57.4","54.7","389","High","No","991988","","","","","Out.mid","13","29","Interrupted pre-season: minor calf strain."
"Fwd","","Darcy Fogarty","ADE","-2.9","No DPP   No Inj Adjustment.","","","18.3","","-2.7","58.6","56.9","390","Low","No","999331","","","","","Key Fwd","23","25",""
"Mid","Fwd","Anthony Scott","WBD","-36.5","Mid: -49.1  Fwd: -36.5  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","28.5","Mid: 28.5  Fwd: 50.0","-12.9","25","41.8","391","Medium","Yes","992048","","","","","","2","29",""
"Def","Mid","Saad El-Hawli","ESS","","No DPP   No Inj Adjustment.","","Def: NA  Mid: NA","","","","","0","392","Medium","Yes","1015919","","","","","","","23","Role: Wing."
"Fwd","","Callum Ah Chee","BRL","-0.8","No DPP   No Inj Adjustment.","","","16.3","","-0.7","60.7","59.3","393","Medium","No","298437","","","","","Gen Fwd","26","27",""
"Ruck","Fwd","Samson Ryan","RIC","-26","Ruck: -50.7  Fwd: -26  No Inj Adjustment.","","Ruck: Inf  Fwd: Inf","0.6","Fwd: 42.0  Ruck: 0.6","15","35.5","45.8","394","Medium","Yes","1012386","","","","","Ruck","8","24","#1 pick in 2024 draft. Concussion in first match sim, will play round 1."
"Mid","Fwd","Matthew Cottrell","CAR","-11.6","Mid: -24.2  Fwd: -11.6  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","18.5","Mid: 18.5  Fwd: 27.2","-2.9","49.9","56.7","395","Medium","Yes","1008154","","","","","Gen Fwd","14","24","Interrupted pre-season: shoulder. Training in Jan."
"Fwd","","Dan Butler","STK","-16.7","No DPP   No Inj Adjustment.","","","32.7","","-17.1","44.8","53.1","396","Low","No","992374","","","","","Gen Fwd","16","28",""
"Fwd","","Bailey Banfield","FRE","0.7","No DPP   No Inj Adjustment.","","","15","","0.6","62.2","53.5","397","Low","No","998180","","","","","Gen Fwd","22","26",""
"Def","","Oscar McDonald","FRE","-26.5","No DPP   No Inj Adjustment.","","","26.3","","-10.7","38","37.1","398","Medium","No","992472","","","","","Def","1","28",""
"Def","","Dougal Howard","STK","-8.1","No DPP   No Inj Adjustment.","","","17.6","","-2","50.1","52.5","399","High","No","993480","","","","","Def","15","28","Injury: Dislocated shoulder. Return end of April."
"Fwd","","Riley Garcia","WBD","-3.8","No DPP   No Inj Adjustment.","","","19.1","","-3.5","57.7","49.5","400","High","No","1006533","","","","","Gen Fwd","12","23","Likely best 22, mid rotation likely to increase."
"Mid","Fwd","Neil Erasmus","FRE","-35.7","Mid: -48.3  Fwd: -35.7  No Inj Adjustment.","","Mid: Inf  Fwd: Inf","28.4","Mid: 28.4  Fwd: 49.5","-12.8","25.8","47.3","401","Medium","Yes","1020250","","","","","Gen Fwd","4","21","Role: May get more midfield time in 2024. Punt"
"Fwd","","Ben Long","GCS","-5.6","No DPP   No Inj Adjustment.","","","20.9","","-5.3","55.9","55.5","402","Medium","No","993917","","","","","Gen Fwd","17","27",""
"Def","","Corey Wagner","FRE","-3.3","No DPP   No Inj Adjustment.","","","9.9","","5.7","61.2","68.3","403","Medium","No","993940","","","","","Distributor","12","27",""
"Mid","","Will Phillips","NTH","-14.7","No DPP   No Inj Adjustment.","","","13.2","","2.4","59.4","61.3","404","Medium","No","1012829","","","","","In.mid","11","22",""
"Mid","","Matthew Johnson","FRE","-12.1","No DPP   No Inj Adjustment.","","","11.8","","3.8","62","61.8","405","Low","No","1016825","","","","","Out.mid","19","21","Potential to get some more mid time in 2024 with Fyfe unlikely to get any."
"Mid","","Ryan Byrnes","STK","-7.5","No DPP   No Inj Adjustment.","","","9.4","","6.2","66.6","63.3","406","High","No","1011994","","","","","Distributor","15","23",""
"Fwd","","Mabior Chol","HAW","-4.5","No DPP   No Inj Adjustment.","","","19.8","","-4.2","57","53.2","407","Medium","No","994077","","","","","Key Fwd","23","27",""
"Fwd","","Matt Guelfi","ESS","-3.5","No DPP   No Inj Adjustment.","","","20","","-4.4","56.8","56.3","408","High","No","996232","","","","","Gen Fwd","13","27","Injury: Hamstring"
"Def","","Marty Hore","MEL","-12.3","No DPP   No Inj Adjustment.","","","16","","-0.4","52.2","47","409","High","No","996692","","","","","Def","6","28",""
"Def","","Lewis Melican","SYD","-26.3","No DPP   No Inj Adjustment.","","","26.2","","-10.6","38.2","39.7","410","Low","No","996743","","","","","Def","24","28",""
"Def","","Brennan Cox","FRE","-12.7","No DPP   No Inj Adjustment.","","","16.3","","-0.7","51.8","68.4","411","Medium","No","997033","","","","","Def","9","26",""
"Def","","Lewis Young","CAR","-7.9","No DPP   No Inj Adjustment.","","","12.9","","2.7","56.6","58.5","412","Medium","No","997316","","","","","Def","9","26",""
"Def","","Ryan Gardner","WBD","","No DPP   No Inj Adjustment.","","","","","","","36.8","413","Medium","No","997501","","","","","","","27",""
"Def","","Conor McKenna","BRL","-13.1","No DPP   No Inj Adjustment.","","","16.6","","-1","51.4","51.9","414","Medium","No","997846","","","","","Distributor","18","28",""
"Def","","Griffin Logue","NTH","-15","No DPP   No Inj Adjustment.","","","18","","-2.4","49.5","55.9","415","Medium","No","997933","","","","","Def","2","26","Interrupted pre-season: wrist surgery in off-season."
"Mid","","Will Graham","GCS","-15.5","No DPP   No Inj Adjustment.","","","13.6","","2","58.6","66.3","416","Medium","No","1026960","","","","","Gen Fwd","17","19","Good first season, mid game is good, likely used as a forward or in other roles."
"Fwd","","Ash Johnson","COL","-43.5","No DPP   No Inj Adjustment.","","","53.5","","-37.9","18","39","417","Medium","No","997974","","","","","Key Fwd","3","27",""
